"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"201",201,29.61625,38.5,23.9,14.5572916666667,16.1,12.7,28.2880694444444,39.06,19.29,13.2249634484228,23.136,4.532
"202",202,28.9803333333333,36.4,24.7,14.9072916666667,16.4,13.2,28.0237175925926,39.32,20.34,13.6648563512361,23.905,1.398
"203",203,28.3708055555556,34.2,25.2,15.3614583333333,17.1,13.5,27.987087962963,42,20.48,11.988648657289,26.524,0.024
"204",204,28.5136666666667,34.5,24.4,15.4526041666667,17.5,14.2,27.4913935185185,42.21,18.79,12.9104012148338,25.744,6.408
"205",205,28.5337777777778,34.76,22.4,15.3822916666667,17.5,13.4,28.5764907407407,42.3,20.6,14.7601726342711,27.112,7.116
"206",206,28.3348888888889,34.39,23.1,15.6369791666667,17.5,13.8,27.5579953703704,38.67,18.63,15.647598998295,22.298,7.015
"207",207,28.3896944444444,35.4,22.7,15.571875,17.4,13.7,28.2583194444444,39.91,20.58,15.6089439471441,23.569,7.569
"208",208,28.9915909090909,37,23.8,15.4677083333333,17.1,13.6,28.6431891025641,39.77,17.06,15.9904597186701,22.992,8.22
"209",209,29.6054166666667,37.5,24.6,15.7307291666667,17.9,13.9,29.1943171296296,39.23,20.56,15.9754178388747,22.32,11.662
"210",210,29.1827083333333,34.9,25,14.9182291666667,16.6,13.6,28.7106018518519,42.15,19.25,16.8655407075874,23.376,11.86
"211",211,29.1886111111111,36,23.5,15.5072916666667,17.5,13.4,28.7893287037037,43.65,18.37,18.7703067988065,25.72,11.662
"212",212,28.9615625,35.9,24.1,15.4953125,16.8,14.4,28.3751157407407,41.21,20.27,19.6629050511509,28.245,11.01
"213",213,28.85875,37.9,24.5,15.3182291666667,16.3,13.7,27.3506597222222,38.34,18.22,19.7687721653879,28.221,11.69
"214",214,28.8708333333333,38.1,24.8,15.1333333333333,16,14.5,27.4761689814815,42.68,18.65,19.2760609548167,27.924,11.783
"215",215,28.6147569444444,35.4,25.6,14.8739583333333,16.8,14,28.3234953703704,40.69,18.58,18.4298575234442,24.919,10.296
"216",216,28.6276736111111,36,24.7,14.896875,16.8,13.9,28.9125462962963,40.03,18.1,18.9628071184996,24.75,12.074
"217",217,28.7130501930502,34.4,25.3,15.0182291666667,17.1,13.9,29.1477257575758,39.37,20.44,19.2494603580563,25.258,10.69
"218",218,28.8613780918728,35.9,25.34,14.9432291666667,15.7,14,27.9112962962963,40.43,19.03,16.4573211849957,23.905,10.88
