"","julian","low_soil_mean","low_soil_max","low_soil_min","mid_soil_mean","mid_soil_max","mid_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_ground_mean","low_ground_max","low_ground_min","mid_ground_mean","mid_ground_max","mid_ground_min","high_ground_mean","high_ground_max","high_ground_min","low_air_mean","low_air_max","low_air_min","mid_air_mean","mid_air_max","mid_air_min","high_air_mean","high_air_max","high_air_min"
"61",61,5.83595744680851,8.45,3.79,2.99597916666667,6.698,0.787,NA,NA,NA,5.79636042553191,9.235,3.3758,2.97524375,7.3935,0.1075,NA,NA,NA,6.52197666666667,17.2137,0.52584,4.04543597222222,11.0924,-4.8062,-1.09132166666667,8.3474,-7.5378
"62",62,6.117925,8.65,4.019,2.90105902777778,7.094,0.856,NA,NA,NA,6.07574625,9.4625,3.5957,2.95494947916667,7.8775,0.33125,NA,NA,NA,8.4535929,18.6272,0.033466,4.30875437847222,13.1114,-4.4843,-0.000478151260504202,8.1628,-9.6023
"63",63,6.46614285714286,9,4.252,3.361875,7.665,0.791,NA,NA,NA,6.52154744897959,9.4625,3.8505,3.45203732638889,9.5343,0.03875,NA,NA,NA,9.21916804225352,18.3596,-0.2297,5.93446322916667,14.3322,-5.537,2.39915366666667,9.3805,-8.1597
"64",64,6.36861440677966,8.97,4.527,4.05616319444444,7.935,0.804,NA,NA,NA,6.39495889830508,9.71,4.0245,3.98330086805556,9.7575,0.306,NA,NA,NA,9.3468698630137,16.5728,1.8548,7.69406805555556,13.425,2.1799,4.28019583333333,9.8333,-2.22
"65",65,6.71437686567164,8.82,4.42,4.26964236111111,8.75,0.852,NA,NA,NA,6.72226828358209,9.545,3.9333,4.40990850694444,11.6375,-0.46525,NA,NA,NA,9.70390248314607,18.6191,-1.1866,7.32916795486111,13.4292,-0.038545,2.48330591666667,9.0267,-11.57
"66",66,7.49348163265306,9.14,4.339,4.636625,9.38,0.809,NA,NA,NA,7.53198775510204,9.825,4.0107,4.97503489583333,11.3425,0.045,NA,NA,NA,9.24811398467433,18.4256,-4.7615,7.80429233333333,12.8717,-1.1102,0.0517687833333333,8.2547,-15.18
"67",67,7.02222352941176,9.47,3.759,5.25418055555556,9.39,0.782,NA,NA,NA,6.94186509803922,10.1475,3.1295,5.66242690972222,11.4175,-0.739,NA,NA,NA,7.89887587916667,17.8783,-0.81259,8.4677921875,15.1298,0.18188,-2.331561,7.0716,-10.4897
"68",68,6.63610849056604,8.81,3.657,5.74233680555556,9.38,0.793,NA,NA,NA,6.57920849056604,9.2175,2.954,6.15300486111111,11.945,-0.54975,NA,NA,NA,7.50422150704225,17.2522,-1.6376,8.92827465277778,15.4829,2.7555,-5.54606755,7.66,-15.1905
"69",69,6.46988181818182,8.95,4.095,5.88679861111111,9.71,0.816,NA,NA,NA,6.41101181818182,9.87,3.3742,6.28378506944444,11.705,-0.02225,NA,NA,NA,9.7529085890411,17.833,-0.61126,7.33663676736111,13.2711,-2.6821,1.49976116666667,10.39,-7.6771
"70",70,6.73008208955224,9.35,4.611,5.36465625,9.84,0.797,NA,NA,NA,6.73451044776119,10.1125,4.1995,5.59964774305556,12.8625,0.291,NA,NA,NA,11.2958928689139,20.1331,-0.66425,4.50136255902778,12.0364,-5.3474,3.99862991666667,8.94,-0.8084
"71",71,7.13132986111111,9.36,4.985,5.1355625,10.17,0.672,NA,NA,NA,7.17454201388889,9.9,4.5693,5.66340607638889,15.4075,0.3585,NA,NA,NA,11.4903159722222,19.5656,6.1723,2.93203535763889,11.6773,-8.0058,4.60814416666667,9.66,1.4206
"72",72,7.42294097222222,9.1,5.689,5.26064930555556,10.51,0.466,NA,NA,NA,7.48235868055556,9.5775,5.0688,5.82478854166667,14.67,0.024,NA,NA,NA,11.074296875,19.8384,1.7086,3.71500361111111,13.0136,-10.0851,1.79592565,10.62,-5.3499
