(Intercept),elevation_change,height,latitude,n_years,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
0.5321504731616251,-0.6938224058524851,0.20751809819411107,0.056727224435836436,NA,NA,NA,6,251.03930097521817,-489.91093727977767,34.7443480218721,1.44832013259747e-08
0.5392087273556736,-0.6846558208001247,0.20645602222105622,-0.038633450883236414,0.25742844150063565,NA,NA,7,252.00427135675727,-489.78454271351455,34.870742588135215,1.3596224792741e-08
0.4507472438693273,NA,0.21130726986155626,NA,NA,NA,-0.1829073697290699,5,247.33234178605693,-484.54516165976327,40.1101236418865,9.9015046610498e-10
0.41395357620635254,NA,0.21184655578662828,NA,0.2810512463259678,NA,-0.1781691006694298,6,248.16877096278563,-484.1698772549126,40.48540804673718,8.20746847289879e-10
0.6347665157134014,-0.6390673727933833,NA,NA,0.22543750351651415,-0.2218208571844059,-0.17261103166598094,7,247.58293658941875,-480.9418731788375,43.71341212281226,1.6340187823755e-10
0.6740232587207006,-0.6714082434432245,NA,NA,NA,-0.21610952933403818,-0.18038087993432125,6,246.4527968049458,-480.7379289392329,43.917356362416854,1.47560838814717e-10
0.45743042738855894,NA,0.2111816558646196,-0.10579449793386411,0.3389382744435404,NA,-0.18981019283628922,7,247.40324574740185,-480.5824914948037,44.07279380684605,1.36526923244849e-10
0.43732146713556885,NA,0.21155224021939237,0.028247766013955518,NA,NA,-0.17994677514683874,6,246.22198486664487,-480.2763050626311,44.37898023901869,1.17146890180267e-10
0.7205404024570549,-0.6755424651191048,NA,-0.17127990269910898,0.3128118020931281,-0.2131181899695,-0.20522885780335584,8,247.71121020814718,-479.13384326198576,45.52144203966401,6.61680500406413e-11
0.33718167144510747,NA,0.2085056847265431,NA,0.3045977991434679,NA,NA,5,243.76327068852564,-477.4070194647007,47.24826583694909,2.7904440113359e-11
0.3748924459558523,NA,0.20816441505309635,NA,NA,NA,NA,4,242.703850917261,-477.32817897169895,47.32710632995082,2.68258392331358e-11
0.6997145220199386,-0.6840112775860431,NA,-0.044011165434416626,NA,-0.21344790676054415,-0.1888684966601398,7,245.1162460370862,-476.0084920741724,48.64679322747736,1.38671415547452e-11
0.30988499488009785,NA,0.20945280084714873,0.15024438307442248,NA,NA,NA,5,242.2606668765326,-474.40181184071463,50.25347346093514,6.21013110736884e-12
0.32076012181079644,NA,0.20898884498317316,0.04527808667107676,0.27910678147590023,NA,NA,6,242.748853844155,-473.33004301765135,51.32524228399842,3.63386782115807e-12
0.559807651343545,-0.6438009748861352,NA,NA,0.2465673048385939,-0.20440244563664056,NA,6,242.19623688603644,-472.2248091014142,52.430476200235546,2.09107991520522e-12
0.5993465147602989,-0.6794106089328376,NA,NA,NA,-0.19905312007667417,NA,5,240.8042299660193,-471.488938019688,53.16634728196175,1.44736563053025e-12
0.5555394424820685,-0.6540675318562627,NA,0.08706420240576336,NA,-0.20488687613165524,NA,6,239.78438016843842,-467.40109566621817,57.2541896354316,1.87462570175917e-13
0.5621981585070415,-0.6452373491733115,NA,-0.005479096044072155,0.24937248359665246,-0.20372996045670366,NA,7,240.77620305376257,-467.32840610752515,57.326879194124615,1.80771611647817e-13
0.46494139885339425,NA,NA,NA,0.2875511631929767,-0.21787430337772895,-0.1857919847752389,6,237.48245473185784,-462.797244793057,61.85804050859275,1.87586271858437e-14
0.5026781296172883,NA,NA,NA,NA,-0.2144053069826832,-0.1916501417448901,5,236.43880214996938,-462.75808238758816,61.89720291406161,1.83948835946453e-14
0.6531542723959518,-0.6918212621865789,NA,NA,NA,NA,-0.15918292714692964,5,236.10924748694885,-462.0989730615471,62.55631224010267,1.32304090685539e-14
0.7335638229086388,-0.7112946759842481,NA,-0.23244746469980865,0.32460704549001423,NA,-0.19513332223439278,7,237.77657968210247,-461.32915936420494,63.32612593744483,9.00347891490916e-15
0.617499790996885,-0.6632919372993512,NA,NA,0.2045104318388486,NA,-0.15239270102708005,6,236.59745356975608,-461.0272424688535,63.62804283279627,7.74194231392539e-15
0.4978623327747484,NA,NA,-0.07955967129253778,0.330726879492357,-0.21550369900134966,-0.19555373108320037,7,236.56679179999009,-458.9095835999802,65.74570170166959,2.68538247507955e-15
0.4781844582851633,NA,NA,0.05136972618043453,NA,-0.21558853179465032,-0.18577569511401482,6,235.3587234991642,-458.54978232766973,66.10550297398004,2.24324287384294e-15
0.7114038172345568,-0.7196872081693025,NA,-0.10001381548088388,NA,NA,-0.17762152987069213,6,235.22561843017434,-458.28357218969,66.37171311195976,1.96367449703606e-15
0.5880425087653677,-0.6973908116513453,NA,NA,NA,NA,NA,4,232.47873302262627,-456.8779431824295,67.7773421192203,9.72391242993967e-16
0.5518365668688575,-0.6656559072465112,NA,NA,0.22486233907250502,NA,NA,5,233.28151476109548,-456.44350760984037,68.2117776918094,7.82536409111153e-16
0.38335026428107793,NA,NA,NA,0.3111097648966365,-0.20425041410195066,NA,5,232.64496049382421,-455.17039907529784,69.48488622635193,4.1404976970397e-16
0.42156418046753263,NA,NA,NA,NA,-0.20062553245849196,NA,4,231.34008115294975,-454.60063944307643,70.05464585857334,3.11408752881196e-16
0.3462523720879038,NA,NA,0.17570224703089257,NA,-0.20729578444859012,NA,5,231.19928075398215,-452.2790395956137,72.37624570603606,9.75442814320232e-17
0.5822176508979366,-0.6809077243338156,NA,-0.07209813232367202,0.2638106470129995,NA,NA,6,232.15708999041186,-452.14651531016506,72.50876999148471,9.12902782644624e-17
0.575179067232729,-0.6902433772534419,NA,0.02550383462834445,NA,NA,NA,5,231.074197917858,-452.0288739233654,72.62641137828439,8.60753957811029e-17
0.35668471996415907,NA,NA,0.07417175802321362,0.2695666542034914,-0.20654646879538371,NA,6,231.68863932524062,-451.20961397982256,73.4456713218272,5.71450993288925e-17
0.47700654041801627,NA,NA,NA,NA,NA,-0.1714965321435731,4,226.51465906640803,-444.949795269993,79.70549003165678,2.49848433150984e-18
0.4414248811039708,NA,NA,NA,0.2696259177110026,NA,-0.16607827884376497,5,227.17860398557346,-444.2376860587963,80.41759924285344,1.75002430257615e-18
0.49676336885960637,NA,NA,-0.1340638650256918,0.3429301673749467,NA,-0.1817120468714533,6,226.5901780502106,-441.0126914297625,83.64259387188724,3.48935691259251e-19
